request_id,user_id,system_requested,access_level,department_at_request,request_date,approval_date,provisioned_date,approver_id,approval_status,business_justification_present,provisioned_before_approval_flag,missing_approval_flag
AR00001,U0178,Tableau,elevated,Admissions,2026-02-14,2026-02-17,2026-02-17,U0271,approved,FALSE,FALSE,FALSE
AR00002,U0108,Tableau,standard,Admissions,2026-03-25,2026-03-29,2026-03-31,U0113,approved,TRUE,FALSE,FALSE
AR00003,U0242,Oracle Financials,standard,Data Analytics,2026-05-08,2026-05-10,2026-05-13,U0375,approved,TRUE,FALSE,FALSE
AR00004,U0144,AWS Console,standard,Student Affairs,2026-02-03,,,,denied,TRUE,FALSE,FALSE
AR00005,U0370,ServiceNow,elevated,Finance,2026-05-23,2026-05-28,2026-05-28,U0087,approved,FALSE,FALSE,FALSE
AR00006,U0256,VPN,admin,Research Administration,2026-05-13,2026-05-15,2026-05-15,U0254,approved,TRUE,FALSE,FALSE
AR00007,U0031,Microsoft 365,elevated,Finance,2026-05-02,2026-05-04,2026-05-06,U0371,approved,TRUE,FALSE,FALSE
AR00008,U0478,ServiceNow,standard,Procurement,2026-04-16,2026-04-20,2026-04-21,U0485,approved,TRUE,FALSE,FALSE
AR00009,U0400,ServiceNow,standard,Research Administration,2026-05-11,2026-05-11,2026-05-13,U0457,approved,TRUE,FALSE,FALSE
AR00010,U0238,VPN,elevated,Information Technology,2026-03-28,2026-03-28,2026-03-26,U0198,approved,TRUE,TRUE,FALSE
AR00011,U0163,ServiceNow,elevated,Human Resources,2026-06-04,2026-06-06,2026-06-09,U0214,approved,TRUE,FALSE,FALSE
AR00012,U0095,Workday,standard,Admissions,2026-03-02,2026-03-07,2026-03-06,U0349,approved,FALSE,TRUE,FALSE
AR00013,U0204,Salesforce,standard,Operations,2026-05-02,2026-05-06,2026-05-06,U0193,approved,TRUE,FALSE,FALSE
AR00014,U0317,VPN,standard,Information Technology,2026-04-10,2026-04-13,2026-04-14,U0146,approved,TRUE,FALSE,FALSE
AR00015,U0270,VPN,standard,Student Affairs,2026-04-02,,,,pending,TRUE,FALSE,FALSE
AR00016,U0500,ServiceNow,standard,Research Administration,2026-02-04,,,,denied,TRUE,FALSE,FALSE
AR00017,U0306,AWS Console,standard,Admissions,2026-05-25,2026-05-27,2026-05-30,U0273,approved,TRUE,FALSE,FALSE
AR00018,U0277,Microsoft 365,elevated,Information Technology,2026-04-24,2026-04-26,2026-04-23,U0094,approved,TRUE,TRUE,FALSE
AR00019,U0435,VPN,standard,Research Administration,2026-05-01,2026-05-04,2026-05-07,U0254,approved,TRUE,FALSE,FALSE
AR00020,U0409,ServiceNow,standard,Admissions,2026-01-02,2026-01-06,2026-01-07,U0457,approved,TRUE,FALSE,FALSE
AR00021,U0084,Tableau,elevated,Admissions,2026-02-26,2026-03-02,2026-03-04,U0136,approved,TRUE,FALSE,FALSE
AR00022,U0381,ServiceNow,standard,Information Technology,2026-01-18,2026-01-21,2026-01-23,U0324,approved,TRUE,FALSE,FALSE
AR00023,U0359,AWS Console,standard,Operations,2026-01-05,2026-01-06,2026-01-08,U0007,approved,FALSE,FALSE,FALSE
AR00024,U0138,VPN,elevated,Operations,2026-01-03,2026-01-04,2026-01-06,U0260,approved,TRUE,FALSE,FALSE
AR00025,U0191,AWS Console,standard,Research Administration,2026-01-09,2026-01-10,2026-01-08,U0479,approved,TRUE,TRUE,FALSE
AR00026,U0037,AWS Console,standard,Data Analytics,2026-03-06,2026-03-11,2026-03-14,U0077,approved,TRUE,FALSE,FALSE
AR00027,U0127,Workday,standard,Finance,2026-01-25,2026-01-28,2026-01-30,U0242,approved,FALSE,FALSE,FALSE
AR00028,U0480,Oracle Financials,standard,Data Analytics,2026-01-11,2026-01-13,2026-01-15,U0077,approved,TRUE,FALSE,FALSE
AR00029,U0102,Oracle Financials,elevated,Admissions,2026-02-25,,,,denied,FALSE,FALSE,FALSE
AR00030,U0407,ServiceNow,standard,Procurement,2026-04-12,2026-04-16,2026-04-19,U0022,approved,TRUE,FALSE,FALSE
AR00031,U0353,VPN,standard,Procurement,2026-01-23,2026-01-27,2026-01-27,U0341,approved,TRUE,FALSE,FALSE
AR00032,U0031,Oracle Financials,standard,Finance,2026-05-18,2026-05-20,2026-05-22,U0132,approved,TRUE,FALSE,FALSE
AR00033,U0413,AWS Console,elevated,Graduate Programs,2026-01-06,2026-01-08,2026-01-11,U0084,approved,TRUE,FALSE,FALSE
AR00034,U0287,ServiceNow,standard,Student Affairs,2026-05-06,2026-05-08,2026-05-10,U0179,approved,TRUE,FALSE,FALSE
AR00035,U0445,VPN,standard,Data Analytics,2026-02-09,2026-02-11,2026-02-14,U0277,approved,TRUE,FALSE,FALSE
AR00036,U0376,VPN,elevated,Procurement,2026-06-08,2026-06-10,2026-06-13,U0134,approved,TRUE,FALSE,FALSE
AR00037,U0350,AWS Console,elevated,Information Technology,2026-02-09,2026-02-11,2026-02-11,U0326,approved,FALSE,FALSE,FALSE
AR00038,U0481,VPN,standard,Graduate Programs,2026-01-09,2026-01-09,2026-01-12,U0066,approved,TRUE,FALSE,FALSE
AR00039,U0337,AWS Console,standard,Graduate Programs,2026-06-01,2026-06-06,2026-06-05,U0298,approved,TRUE,TRUE,FALSE
AR00040,U0336,AWS Console,admin,Research Administration,2026-01-21,2026-01-25,2026-01-28,U0186,approved,TRUE,FALSE,FALSE
AR00041,U0407,Workday,elevated,Procurement,2026-03-10,2026-03-12,2026-03-11,U0415,approved,TRUE,TRUE,FALSE
AR00042,U0050,Salesforce,elevated,Finance,2026-05-17,2026-05-18,2026-05-19,U0334,approved,TRUE,FALSE,FALSE
AR00043,U0286,Tableau,elevated,Research Administration,2026-05-28,2026-05-31,2026-06-01,U0336,approved,TRUE,FALSE,FALSE
AR00044,U0282,Tableau,standard,Admissions,2026-02-10,2026-02-12,2026-02-14,U0474,approved,TRUE,FALSE,FALSE
AR00045,U0433,Oracle Financials,standard,Operations,2026-04-21,2026-04-25,2026-04-28,U0134,approved,TRUE,FALSE,FALSE
AR00046,U0393,ServiceNow,standard,Research Administration,2026-04-26,2026-04-26,2026-04-26,U0352,approved,TRUE,FALSE,FALSE
AR00047,U0456,ServiceNow,standard,Information Technology,2026-02-26,2026-03-03,2026-03-04,U0376,approved,TRUE,FALSE,FALSE
AR00048,U0049,Workday,standard,Research Administration,2026-02-09,2026-02-10,2026-02-08,U0289,approved,TRUE,TRUE,FALSE
AR00049,U0048,Tableau,standard,Procurement,2026-02-25,2026-02-28,2026-02-28,U0387,approved,TRUE,FALSE,FALSE
AR00050,U0305,ServiceNow,standard,Finance,2026-05-28,2026-05-30,2026-06-02,U0466,approved,TRUE,FALSE,FALSE
AR00051,U0445,Salesforce,elevated,Data Analytics,2026-02-28,2026-02-28,2026-03-03,U0470,approved,FALSE,FALSE,FALSE
AR00052,U0269,Workday,standard,Human Resources,2026-05-25,2026-05-26,2026-05-23,U0131,approved,TRUE,TRUE,FALSE
AR00053,U0498,AWS Console,elevated,Operations,2026-05-28,2026-05-31,2026-06-02,U0150,approved,FALSE,FALSE,FALSE
AR00054,U0293,Workday,standard,Procurement,2026-03-09,2026-03-14,2026-03-15,U0380,approved,TRUE,FALSE,FALSE
AR00055,U0247,Microsoft 365,standard,Finance,2026-05-27,2026-05-31,2026-05-31,U0368,approved,TRUE,FALSE,FALSE
AR00056,U0137,Tableau,standard,Admissions,2026-05-28,2026-05-30,2026-06-01,U0207,approved,TRUE,FALSE,FALSE
AR00057,U0177,Workday,elevated,Operations,2026-02-13,,,,denied,TRUE,FALSE,FALSE
AR00058,U0075,AWS Console,standard,Graduate Programs,2026-03-01,2026-03-06,2026-03-06,U0373,approved,TRUE,FALSE,FALSE
AR00059,U0379,Workday,standard,Procurement,2026-06-08,,,,pending,TRUE,FALSE,FALSE
AR00060,U0008,Oracle Financials,standard,Data Analytics,2026-01-29,2026-01-30,2026-01-31,U0171,approved,TRUE,FALSE,FALSE
AR00061,U0105,ServiceNow,standard,Data Analytics,2026-06-09,2026-06-14,2026-06-11,U0350,approved,TRUE,TRUE,FALSE
AR00062,U0464,Workday,standard,Data Analytics,2026-01-16,2026-01-18,2026-01-15,U0312,approved,TRUE,TRUE,FALSE
AR00063,U0484,Workday,standard,Student Affairs,2026-03-11,2026-03-11,2026-03-08,U0186,approved,FALSE,TRUE,FALSE
AR00064,U0198,Microsoft 365,admin,Operations,2026-05-11,,,,denied,TRUE,FALSE,FALSE
AR00065,U0273,Salesforce,standard,Procurement,2026-05-09,,,,denied,TRUE,FALSE,FALSE
AR00066,U0021,Microsoft 365,admin,Information Technology,2026-03-20,2026-03-20,2026-03-22,U0104,approved,TRUE,FALSE,FALSE
AR00067,U0155,Microsoft 365,admin,Operations,2026-05-09,2026-05-12,2026-05-12,U0139,approved,TRUE,FALSE,FALSE
AR00068,U0486,ServiceNow,standard,Human Resources,2026-03-29,,,,pending,TRUE,FALSE,FALSE
