event_id,user_id,event_date,event_type,failed_login_count,mfa_exception_flag,resolved_flag
MFA00001,U0082,2026-01-16,failed_login,2,FALSE,TRUE
MFA00002,U0362,2026-03-16,failed_login,1,FALSE,TRUE
MFA00003,U0111,2026-01-04,failed_login,12,FALSE,TRUE
MFA00004,U0160,2026-04-20,failed_login,3,FALSE,TRUE
MFA00005,U0175,2026-02-02,bypass_request,0,FALSE,TRUE
MFA00006,U0214,2026-03-25,reset,0,FALSE,TRUE
MFA00007,U0325,2026-05-02,device_change,1,FALSE,TRUE
MFA00008,U0170,2026-02-02,failed_login,12,FALSE,TRUE
MFA00009,U0467,2026-06-01,reset,0,FALSE,TRUE
MFA00010,U0490,2026-01-05,failed_login,2,FALSE,TRUE
MFA00011,U0076,2026-01-21,failed_login,3,FALSE,TRUE
MFA00012,U0485,2026-03-10,device_change,0,FALSE,TRUE
MFA00013,U0250,2026-02-06,reset,0,FALSE,TRUE
MFA00014,U0115,2026-03-25,failed_login,2,FALSE,TRUE
MFA00015,U0402,2026-03-23,reset,0,TRUE,FALSE
MFA00016,U0311,2026-06-02,failed_login,3,FALSE,TRUE
MFA00017,U0222,2026-05-10,reset,0,FALSE,TRUE
MFA00018,U0420,2026-03-18,device_change,0,FALSE,TRUE
MFA00019,U0282,2026-04-18,failed_login,1,FALSE,TRUE
MFA00020,U0076,2026-04-08,failed_login,3,FALSE,TRUE
MFA00021,U0056,2026-04-27,device_change,0,FALSE,TRUE
MFA00022,U0084,2026-03-24,failed_login,12,FALSE,TRUE
MFA00023,U0283,2026-02-06,failed_login,2,FALSE,TRUE
MFA00024,U0331,2026-02-15,reset,0,FALSE,TRUE
MFA00025,U0077,2026-05-26,reset,0,FALSE,TRUE
MFA00026,U0366,2026-01-17,reset,2,FALSE,TRUE
MFA00027,U0049,2026-03-02,device_change,0,FALSE,TRUE
MFA00028,U0042,2026-01-18,failed_login,2,FALSE,TRUE
MFA00029,U0203,2026-05-21,failed_login,5,FALSE,TRUE
MFA00030,U0223,2026-02-28,device_change,0,FALSE,TRUE
MFA00031,U0027,2026-02-27,failed_login,2,TRUE,FALSE
MFA00032,U0489,2026-05-09,device_change,0,FALSE,TRUE
MFA00033,U0262,2026-05-07,bypass_request,0,FALSE,TRUE
MFA00034,U0009,2026-02-23,failed_login,1,FALSE,TRUE
MFA00035,U0042,2026-04-05,failed_login,3,FALSE,TRUE
MFA00036,U0078,2026-06-09,device_change,0,FALSE,TRUE
MFA00037,U0082,2026-06-05,device_change,0,FALSE,TRUE
MFA00038,U0202,2026-03-15,reset,0,FALSE,TRUE
MFA00039,U0344,2026-04-14,failed_login,1,FALSE,TRUE
MFA00040,U0055,2026-02-22,bypass_request,0,FALSE,TRUE
MFA00041,U0346,2026-06-01,reset,1,FALSE,TRUE
MFA00042,U0282,2026-03-06,reset,0,FALSE,TRUE
MFA00043,U0371,2026-03-27,reset,0,FALSE,FALSE
MFA00044,U0168,2026-04-11,failed_login,3,FALSE,TRUE
MFA00045,U0288,2026-03-05,failed_login,1,FALSE,TRUE
MFA00046,U0078,2026-01-03,failed_login,8,FALSE,TRUE
MFA00047,U0196,2026-02-10,bypass_request,0,TRUE,TRUE
MFA00048,U0380,2026-01-20,device_change,0,FALSE,TRUE
MFA00049,U0018,2026-03-19,device_change,0,FALSE,TRUE
MFA00050,U0410,2026-01-31,device_change,2,FALSE,TRUE
MFA00051,U0016,2026-05-02,device_change,0,FALSE,TRUE
MFA00052,U0234,2026-05-29,device_change,0,FALSE,TRUE
MFA00053,U0490,2026-02-09,failed_login,1,FALSE,TRUE
MFA00054,U0020,2026-04-30,failed_login,2,FALSE,FALSE
MFA00055,U0023,2026-03-13,failed_login,5,FALSE,TRUE
MFA00056,U0242,2026-03-11,reset,2,FALSE,TRUE
MFA00057,U0415,2026-01-12,reset,1,FALSE,TRUE
MFA00058,U0251,2026-01-13,bypass_request,0,TRUE,TRUE
MFA00059,U0279,2026-04-06,reset,1,FALSE,TRUE
MFA00060,U0328,2026-02-14,reset,0,FALSE,TRUE
MFA00061,U0393,2026-05-07,reset,0,FALSE,TRUE
MFA00062,U0045,2026-02-05,failed_login,2,FALSE,TRUE
MFA00063,U0386,2026-02-12,failed_login,8,TRUE,FALSE
MFA00064,U0075,2026-05-19,failed_login,3,FALSE,TRUE
MFA00065,U0294,2026-02-22,reset,1,FALSE,TRUE
MFA00066,U0451,2026-05-09,reset,0,FALSE,TRUE
MFA00067,U0131,2026-02-12,device_change,1,FALSE,TRUE
MFA00068,U0251,2026-04-06,reset,0,FALSE,TRUE
MFA00069,U0202,2026-03-31,reset,1,FALSE,TRUE
MFA00070,U0116,2026-04-27,failed_login,1,FALSE,TRUE
MFA00071,U0367,2026-05-10,reset,1,FALSE,TRUE
MFA00072,U0356,2026-03-03,device_change,1,FALSE,TRUE
MFA00073,U0282,2026-02-18,reset,0,FALSE,TRUE
MFA00074,U0049,2026-01-19,device_change,0,FALSE,TRUE
MFA00075,U0173,2026-01-03,failed_login,3,FALSE,TRUE
MFA00076,U0107,2026-06-08,reset,0,FALSE,TRUE
MFA00077,U0022,2026-01-09,failed_login,2,FALSE,TRUE
MFA00078,U0243,2026-04-09,device_change,1,FALSE,TRUE
MFA00079,U0301,2026-03-31,failed_login,8,FALSE,TRUE
MFA00080,U0195,2026-05-05,reset,1,FALSE,TRUE
MFA00081,U0048,2026-06-11,reset,2,FALSE,TRUE
MFA00082,U0124,2026-05-01,failed_login,1,FALSE,TRUE
MFA00083,U0438,2026-06-07,failed_login,2,FALSE,TRUE
MFA00084,U0256,2026-01-08,failed_login,8,FALSE,TRUE
MFA00085,U0238,2026-05-25,reset,0,FALSE,TRUE
MFA00086,U0025,2026-01-31,reset,0,FALSE,TRUE
MFA00087,U0151,2026-01-11,device_change,0,FALSE,TRUE
MFA00088,U0112,2026-01-20,device_change,0,FALSE,TRUE
MFA00089,U0250,2026-02-15,bypass_request,5,TRUE,TRUE
MFA00090,U0350,2026-05-07,failed_login,1,FALSE,TRUE
MFA00091,U0467,2026-02-12,reset,0,FALSE,TRUE
MFA00092,U0289,2026-05-08,reset,0,FALSE,TRUE
MFA00093,U0156,2026-04-05,device_change,0,FALSE,TRUE
MFA00094,U0143,2026-04-19,failed_login,1,FALSE,TRUE
MFA00095,U0341,2026-04-13,failed_login,3,TRUE,FALSE
MFA00096,U0078,2026-05-27,reset,0,FALSE,TRUE
MFA00097,U0280,2026-03-09,failed_login,2,FALSE,FALSE
MFA00098,U0299,2026-05-24,failed_login,1,FALSE,TRUE
MFA00099,U0383,2026-01-03,bypass_request,0,TRUE,TRUE
MFA00100,U0272,2026-02-05,reset,0,FALSE,TRUE
MFA00101,U0110,2026-05-02,reset,0,TRUE,TRUE
MFA00102,U0322,2026-01-19,failed_login,1,FALSE,TRUE
MFA00103,U0441,2026-05-03,bypass_request,2,FALSE,TRUE
MFA00104,U0250,2026-06-10,failed_login,2,FALSE,TRUE
MFA00105,U0031,2026-01-11,bypass_request,8,TRUE,TRUE
MFA00106,U0201,2026-02-27,failed_login,5,FALSE,TRUE
MFA00107,U0405,2026-04-15,failed_login,3,FALSE,TRUE
MFA00108,U0438,2026-05-08,failed_login,5,FALSE,TRUE
MFA00109,U0485,2026-02-07,failed_login,5,FALSE,TRUE
MFA00110,U0144,2026-03-29,failed_login,2,FALSE,TRUE
MFA00111,U0486,2026-05-05,failed_login,2,FALSE,TRUE
MFA00112,U0356,2026-06-04,failed_login,3,FALSE,TRUE
MFA00113,U0139,2026-05-06,reset,2,FALSE,TRUE
MFA00114,U0033,2026-03-10,reset,2,FALSE,TRUE
MFA00115,U0117,2026-03-24,reset,2,FALSE,TRUE
MFA00116,U0157,2026-03-27,reset,0,FALSE,TRUE
MFA00117,U0218,2026-02-18,failed_login,5,FALSE,TRUE
MFA00118,U0250,2026-02-18,failed_login,3,FALSE,TRUE
MFA00119,U0165,2026-04-29,reset,0,FALSE,TRUE
MFA00120,U0449,2026-03-05,reset,0,FALSE,TRUE
MFA00121,U0282,2026-04-06,device_change,0,FALSE,TRUE
MFA00122,U0291,2026-03-29,failed_login,1,FALSE,TRUE
MFA00123,U0495,2026-05-21,failed_login,12,FALSE,TRUE
MFA00124,U0223,2026-05-07,reset,0,FALSE,FALSE
MFA00125,U0142,2026-04-18,failed_login,1,FALSE,TRUE
MFA00126,U0251,2026-05-02,failed_login,2,FALSE,TRUE
MFA00127,U0095,2026-01-14,failed_login,1,FALSE,TRUE
MFA00128,U0425,2026-01-25,reset,2,FALSE,TRUE
MFA00129,U0222,2026-01-16,failed_login,1,FALSE,TRUE
MFA00130,U0142,2026-03-03,reset,0,FALSE,TRUE
MFA00131,U0137,2026-04-01,device_change,1,FALSE,TRUE
MFA00132,U0163,2026-02-13,bypass_request,5,FALSE,TRUE
MFA00133,U0489,2026-05-27,reset,1,FALSE,TRUE
MFA00134,U0049,2026-04-15,reset,0,FALSE,TRUE
MFA00135,U0049,2026-03-13,device_change,0,FALSE,TRUE
MFA00136,U0297,2026-04-09,device_change,0,FALSE,TRUE
